	filename	year	sentnum	sentence
172	FRA06201_Viel-Castel.xml	1845	645	Maintenant, écoute -moi de nouveau, moine : il faut que tu te rendes cette nuit chez le garde Gilles, et que, muni de l'autre moitié de la pièce d'or qu'il a entre les mains, tu lui redemandes l'enfant qui lui a été confié.
173	FRA06201_Viel-Castel.xml	1845	354	En face d'un danger commun, il est naturel aux hommes, mon cher Archambaud, de se réunir autour du plus fort et du plus puissant, pour faire cause commune avec lui, et de se joindre à lui, de telle sorte que tous réunis ne forment plus qu'un faisceau.
174	FRA06201_Viel-Castel.xml	1845	1467	Tous deux songèrent à cette journée du lendemain, qui, pour l'enfant, devait lui ouvrir les portes d'une nouvelle existence, et pour l'homme fait, devait clore sa destinée.
175	FRA06201_Viel-Castel.xml	1845	196	Et ne m'as -tu pas dit, toi qui assistes aux sermons des moines, qu'un de ces prêcheurs de Poitiers avait appelé, du haut de sa chaire, les peuples de l'Aquitaine à secouer le joug des barbares du Nord ?
176	FRA06201_Viel-Castel.xml	1845	668	Prends bien garde de tomber dans quelque embuscade de ces maudits Brabançons; tu sais qu'ils n'ont point les gens de ta robe en grande vénération, quoique l'on prétende que leur chef, Leclerc, ait été jadis un des vôtres.
177	FRA06201_Viel-Castel.xml	1845	1716	... Mais toi, vicomte de Comborn, si tu veux retrouver Hugues... va lui demander là, où tu l'as couché, s'il accepte le titre d'écuyer...
178	FRA06201_Viel-Castel.xml	1845	11	Les aventuriers dont se composaient les armées des princes et des seigneurs de leur parti venaient, après les guerres de leurs chefs, ajouter de nouvelles ruines aux ruines qu'elles avaient faites : l'incendie dévorait les hameaux, les villages, quelquefois aussi les riches abbayes et les châteaux que le petit nombre de leurs défenseurs faisait tomber entre leurs mains.
179	FRA06201_Viel-Castel.xml	1845	310	Henri au court mantel est une bonne lame contre le roi d'Angleterre et contre Richard, le Cœur de Lion; plus tard, nous raccourcirons tellement le mantel du prince Henri, qu'on le nommera le prince sans mantel.
630	FRA03802_Stern.xml	1846	1203	Le temps était très-doux; les étoiles scintillaient au firmament; tout était silencieux, tout dormait.
631	FRA03802_Stern.xml	1846	2819	Dans l'état de prostration où il s'était laissé tomber, le souvenir de madame de Kervaëns reprit sur lui un empire absolu.
632	FRA03802_Stern.xml	1846	389	La vicomtesse avait ordonné d'aller au pas dans la grande allée, pour laisser à chacun le loisir d'admirer une paire de chevaux jeunes et fringants que son cocher attelait pour la première fois.
633	FRA03802_Stern.xml	1846	978	Elle se considéra comme une pauvre malade heureusement guérie d'un accès de délire.
634	FRA03802_Stern.xml	1846	1840	Il en éprouva un grand soulagement, et monta en voiture, sans chagrin, sans remords, le cœur ulcéré, ne rêvant que succès, triomphe, vengeance.
635	FRA03802_Stern.xml	1846	257	Madame d'Hespel faisait régulièrement chaque après-midi une tournée dans les boutiques à la mode, et cela sans même projeter aucune emplette; elle aimait la conversation des faiseuses qui lui témoignaient une déférence dont elle était flattée; et lorsqu'elle rencontrait, dans un magasin, quelqu'une de ses amies, les conseils réciproques, les observations sur la forme d'un mantelet, la critique d'un chapeau vu la veille à une étrangère, animaient à tel point le discours, que souvent on s'y oubliait jusqu'à l'heure du repas.
636	FRA03802_Stern.xml	1846	2745	Saluant Ewald avec un respect familier : — Je souhaite le bonsoir à mes hôtes, dit-il en jetant un regard de satisfaction sur l'étranger dont la présence allait donner un grand relief à sa taverne; ma bière est exquise aujourd'hui, tous ces messieurs en sont dans le ravissement.
637	FRA03802_Stern.xml	1846	148	Loin de là, l'infortunée se voyait réduite à discuter le jour des vœux d'une professe, à fixer l'ordonnance d'une procession dans le jardin d'un cloître, à réprimander des novices pour avoir parlé à la chapelle.
638	FRA03802_Stern.xml	1846	1720	Mais j'oubliais une chose, dit-il en se tournant vers Guermann : nous avons en ce moment à Genève une excellente troupe italienne; on donne ce soir la    ; j'ai une loge d'avant-scène; si madame me permettait de la lui offrir...
639	FRA03802_Stern.xml	1846	2523	Ces femmes s'enivraient d'idées comme les hommes se grisent d'un vin dont ils n'ont pas l'habitude, et ce qui les animait d'un certain enthousiasme extravagant pour les idées nouvelles, c'était l'espoir assez peu dissimulé de pouvoir s'abandonner sans frein et sans honte à leurs penchants.
520	FRA01701_GautierT.xml	1847	803	Les voisins avaient entendu la sérénade, tout s'expliquait.
521	FRA01701_GautierT.xml	1847	886	Cependant il jeta un regard suppliant à Militona, comme pour la prier de ne pas essayer une lutte inutile, et il la trouva si radieusement belle dans la blancheur de son épouvante, qu'il ne fut pas fâché de l'avoir connue même à ce prix.
522	FRA01701_GautierT.xml	1847	644	Andrès de Salcedo n'a pas paru chez lui depuis hier.
523	FRA01701_GautierT.xml	1847	1213	En grommelant des malédictions et en faisant des gestes insensés, il avait gagné, sans savoir où il allait, la porte de Hierro, et ses pieds l'avaient mené au hasard à travers la campagne.
524	FRA01701_GautierT.xml	1847	346	Une jarre de terre poreuse, suspendue par les anses à une ficelle et couverte d'une sueur perlée, rafraîchissait l'eau à la brise naissante du soir, et laissait tomber quelques gouttes sur deux pots de basilic placés au-dessous.
525	FRA01701_GautierT.xml	1847	40	Elle dansait et jouait du piano, hélas !
526	FRA01701_GautierT.xml	1847	1212	Il serait convenable d'aller à sa recherche, car il était sorti de la chambre de Militona dans un état d'exaspération qui touchait à la démence.
527	FRA01701_GautierT.xml	1847	36	Andrès s'était habitué à considérer Feliciana comme sa femme.
528	FRA01701_GautierT.xml	1847	1239	Ce pauvre Luca et ce pauvre Ginès, comme je vous les ai arrangés, et cela pour rien !
529	FRA01701_GautierT.xml	1847	875	murmura la vieille claquant des dents, il va nous massacrer ici tous les trois.
100	FRA04301_Achard.xml	1847	2359	La balle fit sauter l'écorce d'un saule à dix pas de Belle-Rose.
101	FRA04301_Achard.xml	1847	757	Quant à moi, je n'y regarderai pas de si près, si quelque jour... Mais les tiens m'ont mis dans un trop piteux état pour que je recommence jamais.
102	FRA04301_Achard.xml	1847	11131	Belle-Rose mit la main sur la garde de son poignard, entr'ouvrit son manteau pour être prêt en cas d'attaque et se dirigea vers le pont Notre-Dame.
103	FRA04301_Achard.xml	1847	10606	murmura-t-il, il faut qu'il soit fort en colère pour être si fort altéré.
104	FRA04301_Achard.xml	1847	7220	Godefroy Charny, ou M.
105	FRA04301_Achard.xml	1847	1411	Quand les mantes tombèrent, Guillaume reconnut Suzanne et Claudine.
106	FRA04301_Achard.xml	1847	10272	Le cheval fit trois pas, et s'arrêta piaffant, et secouant son mors chargé d'écume.
107	FRA04301_Achard.xml	1847	11479	Il y eut un instant de silence terrible.
108	FRA04301_Achard.xml	1847	691	Jacques riposta par un coup de pointe furieux.
109	FRA04301_Achard.xml	1847	2103	A la vue de Belle-Rose, le jeune page marcha rapidement vers lui, et dit tout bas :      .
550	FRA06101_Sandeau.xml	1848	538	Madame de La Seiglière avait bercé l'enfance de Raoul; madame de Vaubert avait servi de mère à Hélène.
551	FRA06101_Sandeau.xml	1848	117	Au retour de Bernard, tout prit une face nouvelle.
552	FRA06101_Sandeau.xml	1848	1982	s'écria-t-elle; me prenez -vous pour la baronne de Pretintailles ?
553	FRA06101_Sandeau.xml	1848	570	Jamais le vieux Stamply n'en avait rêvé de si belles.
554	FRA06101_Sandeau.xml	1848	1908	demanda madame de Vaubert d'un air ennuyé.
555	FRA06101_Sandeau.xml	1848	1070	Ulcéré par le malheur, justement irrité par les poignantes déceptions du retour, exaspéré par la rumeur publique, brûlant de toutes les passions et de toutes les ardeurs politiques du temps, haïssant d'instinct la noblesse, impatient de venger son père, il se présente au château de La Seiglière, sa haine appuyée sur son droit, le cœur et la tête remplis d'orages et de tempêtes, s'attendant à rencontrer une résistance orgueilleuse, pressentant des prétentions altières, des préjugés hautains, une morgue insolente, et se préparant à broyer tout cela sous l'ouragan de sa colère.
556	FRA06101_Sandeau.xml	1848	1533	cela va bien, nous en sortirons — il mit sa position à nu et se déshabilla, c'est le mot, tandis que, le menton appuyé sur le bec à corbin de sa canne, le vieux roué étouffait de joie dans sa peau de voir l'orgueilleux gentilhomme étalant ses infirmités et découvrant sans pudeur les plaies de son égoïsme et de son orgueil.
557	FRA06101_Sandeau.xml	1848	270	Et pas un serviteur sur le seuil de la porte !
558	FRA06101_Sandeau.xml	1848	705	Est -ce que tout cela me regarde ?
559	FRA06101_Sandeau.xml	1848	265	Toutefois, elle acheva le trajet d'un pas moins ferme et d'un cœur moins joyeux.
270	FRA05401_Kock.xml	1849	3859	Chéri, si cela continue, je ne viendrai plus dans cette maison... J'y attrape des vapeurs et j'y perds mon argent;... ça ne m'amuse pas du tout....
271	FRA05401_Kock.xml	1849	4425	— Comment, si je le crois ?
272	FRA05401_Kock.xml	1849	4455	Mademoiselle Pomard a vingt-neuf ans, et une sagesse de vingt-neuf ans... c'est bien scabreux... Qu'en penses -tu ?
273	FRA05401_Kock.xml	1849	3983	— Rentrons, je vous en prie... vous me faites mal... j'étouffe... ah !
274	FRA05401_Kock.xml	1849	7103	de Tergenne, il se serre les poings en disant : « Si j'avais deviné cela !
275	FRA05401_Kock.xml	1849	747	— C'est convenu, jeudi à neuf heures, je serai chez toi.
276	FRA05401_Kock.xml	1849	4135	... Que je m'en veux d'être si faible !
277	FRA05401_Kock.xml	1849	2078	il veut que je quitte ma danseuse, il ne veut pas que je me ruine !
278	FRA05401_Kock.xml	1849	5850	en vérité, ceci passe la permission... Mais maintenant que cette maison m'appartient, je ne cacherai pas à ce monsieur ce que je pense; j'espère qu'il ne nous restera pas long-temps au moins !
279	FRA05401_Kock.xml	1849	2504	ne suis -je plus Ernestine, ta bonne amie d'autrefois ?
710	FRA00502_Balzac.xml	1851-1853	3300	mes fistons, d'ici à quelques jours, j'amènerai monsieur Schmucke à vous vendre sept à huit tableaux, dix au plus; mais à deux conditions : la première, un secret absolu.
711	FRA00502_Balzac.xml	1851-1853	1192	Un poète est un homme qui ne compte pas, qui laisse sa femme maîtresse des capitaux, un homme facile à mener et qu'on occupe de niaiseries.
712	FRA00502_Balzac.xml	1851-1853	4025	Mais, chose étrange et digne de remarque !
713	FRA00502_Balzac.xml	1851-1853	2228	s'écria la Cibot en se précipitant sur Pons et le recouchant de force.
714	FRA00502_Balzac.xml	1851-1853	3971	Mais quand Fraisier présenta la lettre collective, par laquelle Élie Magus et Rémonencq s'engageait à prendre en bloc la collection de Pons pour une somme de neuf cent mille francs payée comptant, la présidente lança sur l'homme d'affaires un regard d'où jaillissait la somme.
715	FRA00502_Balzac.xml	1851-1853	2529	Toute la maison, tout le quartier surent bientôt le trait sublime de madame Cibot, qui s'était donné un effort mortel, disait -on, en enlevant un des Casse-noisettes dans ses bras.
716	FRA00502_Balzac.xml	1851-1853	1119	Cécile était allée droit au fait, en s'enquérant de la manière dont s'habillait Frédéric Brunner, de la taille, de la tournure, de la couleur des cheveux et des yeux, et lorsqu'elle eut conjecturé que Frédéric avait l'air distingué, elle admira la générosité de son caractère.
717	FRA00502_Balzac.xml	1851-1853	1201	Elle fut si naïve dans ses exclamations, elle parut si heureuse d'apprendre de Frédéric la valeur, la beauté d'une peinture, d'une sculpture, d'un bronze, que l'Allemand dégela : sa figure devint jeune.
718	FRA00502_Balzac.xml	1851-1853	4116	C'est patriarche; ça n'est pas drôle et amusant comme était Cardot avec Malaga, mais ça ne lèvera jamais le pied, comme le petit Chose qui vivait avec Antonia !
719	FRA00502_Balzac.xml	1851-1853	849	Sa figure, jadis belle et fraîche, comme celle du Jésus-Christ des peintres, avait pris des tons aigres que des moustaches rouges, une barbe fauve rendaient presque sinistres.
940	FRA00701_Carraud.xml	1852	134	merci, madame : je n'ai fait que mon devoir en vous rendant ce qui vous appartient; je ne dois pas en être récompensée.
941	FRA00701_Carraud.xml	1852	1178	Si grand Louis la voyait faire, il allait lui chercher l'eau.
942	FRA00701_Carraud.xml	1852	284	Mme Dumont lui demanda où était sa petite fille.
943	FRA00701_Carraud.xml	1852	725	c'est son naturel qui est comme ça; mais il n'est pas plus méchant qu'un autre.
944	FRA00701_Carraud.xml	1852	1544	La grêle et les autres fléaux sont des épreuves que Dieu nous envoie, et il ne faut pas en murmurer.
945	FRA00701_Carraud.xml	1852	2229	Vers deux heures du matin, grand Louis ouvrit les yeux et appela sa femme :
946	FRA00701_Carraud.xml	1852	1992	Ce n'est pas une grande peine pour moi de laver leur petit corps tous les matins en les levant, et de leur brosser la tête; c'est bientôt fait, et je leur épargne par là bien des petites misères.
947	FRA00701_Carraud.xml	1852	2288	Vous oubliez les souffrances que son Fils a endurées pour nous.
948	FRA00701_Carraud.xml	1852	2509	Il s'est encore placé au moulin du bourg; son mal est revenu aux deux jambes, et il ne s'en est pas vanté.
949	FRA00701_Carraud.xml	1852	656	Console -toi donc un peu !
0	FRA03101_Ponson.xml	1852	1417	Je triomphai de la vie : je pris au chevet de mon père mort une vieille épée qui datait des croisades, je ceignis mes reins de la ceinture du voyageur, et je partis.
1	FRA03101_Ponson.xml	1852	1052	Il ne vit plus, il n'entendit plus que la jeune fille, qui fit le tour de la table et alla poser ses lèvres roses sur le front d'ébène de son père en lui disant :
2	FRA03101_Ponson.xml	1852	513	À côté du cierge était un large pli, portant cette inscription :
3	FRA03101_Ponson.xml	1852	2092	de Nossac sentit sa raison chanceler, le cœur lui manquer, son corps défaillir.
4	FRA03101_Ponson.xml	1852	3130	de Simiane haussa les épaules.
5	FRA03101_Ponson.xml	1852	1252	La porte s'ouvrit devant elle, elle entra, monta l'escalier, arriva à son appartement, désert depuis sa mort, et poussa les verrous quand mon père fut entré.
6	FRA03101_Ponson.xml	1852	1763	On me donna un cheval, et je t'assure qu'il ne me fut point inutile, car j'étais bien lasse !
7	FRA03101_Ponson.xml	1852	2992	Alors son courage commença à faiblir; le froid de la nuit lui arracha un frisson, la fièvre qui le brûlait s'apaisa un moment, et à mesure que la raison revenait, il ne pouvait s'empêcher de songer que ni le marquis, qui était son ami, ni ses domestiques, n'avaient reconnu Mme de Nossac dans Gretchen.
8	FRA03101_Ponson.xml	1852	2558	Où se cache donc un pareil trésor ?
9	FRA03101_Ponson.xml	1852	1944	Et ce disant, le comte de Holdengrasburg ouvrit la croisée, et le baron reconnut son paysage riant et pittoresque de la veille, sa prairie en fleurs, son parc ombreux, son village coquet, sa forêt verte, et, comme la veille, il aperçut un homme et une femme se promenant sous les murs du château et foulant l'herbe drue, toute ruisselante encore de la rosée du matin.
240	FRA00501_Balzac.xml	1853	1947	Dieu les punit souvent ici-bas : là gît la raison des épouvantables malheurs qui nous paraissent inexplicables.
241	FRA00501_Balzac.xml	1853	1386	En amont de son barrage, il obtint un charmant lac, et en aval deux cascades, deux ravissantes rivières avec lesquelles il arrosa la sèche et inculte vallée que dévastait jadis le torrent des Rouxey.
242	FRA00501_Balzac.xml	1853	376	Monsieur de Soulas proposa de faire le sol en asphalte.
243	FRA00501_Balzac.xml	1853	1758	Vous avez en moi un fils, un homme qui vous devra son bonheur.
244	FRA00501_Balzac.xml	1853	601	Cet amour sera le principe secret de ma vie, et j'en mourrai peut-être !
245	FRA00501_Balzac.xml	1853	283	dit la belle madame de Chavoncourt.
246	FRA00501_Balzac.xml	1853	942	Cet hiver passa comme un jour.
247	FRA00501_Balzac.xml	1853	842	Voilà les derniers venus à Genève, et ils ne sont point Milanais.
248	FRA00501_Balzac.xml	1853	454	Tendre comme sa mère, il s'élançait avec une violence inouïe et par la pensée vers la chose souhaitée, il dévorait le temps.
249	FRA00501_Balzac.xml	1853	1277	Peu   de ma nature et au désespoir, j'ai pris la seule poésie qui fût dans mon âme, la seule aventure qui fût dans mes souvenirs, je l'ai mise au ton où elle pouvait être dite, et je n'ai pas cessé de penser à toi tout en écrivant le seul morceau littéraire qui sortira de mon cœur, je ne puis pas dire de ma plume.
30	FRA07301_Valgand.xml	1853	225	vous vendriez l'hôtel de Nolar ?
31	FRA07301_Valgand.xml	1853	3242	non pour une heure, pour un jour, mais pour l'éternité....
32	FRA07301_Valgand.xml	1853	2173	Elle chaussa de petites bottines de même couleur et de même étoffe que sa robe; on eût dit Cendrillon transformé par la baguette des fées.
33	FRA07301_Valgand.xml	1853	3286	d'Osna, qui l'avait vu venir au monde, et qui l'aimait comme un fils, ressentait une grande douleur.
34	FRA07301_Valgand.xml	1853	1738	D'où vient-elle cette lettre ?
35	FRA07301_Valgand.xml	1853	2044	A sa place, comme je serais entré en disant : Blondine, je t'ai méconnue, pardonne -moi.
36	FRA07301_Valgand.xml	1853	373	Nous nous mîmes en route, chacun avec sa chacune, bien entendu, Purpurine au bras d'Adolphe, nom que s'était donné le nouveau venu.
37	FRA07301_Valgand.xml	1853	730	longtemps j'ai eu de la haine au cœur pour la nouvelle royauté.
38	FRA07301_Valgand.xml	1853	1812	Louville, je vous garderai jusqu'à ce que vous ayez trouvé une autre place.
39	FRA07301_Valgand.xml	1853	2642	d'Osna fut décontenancé.
540	FRA00503_Balzac.xml	1854	131	C'est un agneau pour la douceur !
541	FRA00503_Balzac.xml	1854	3069	Avec le morcellement de la propriété, l'Angleterre n'existerait plus déjà.
542	FRA00503_Balzac.xml	1854	60	A sept heures en hiver, à neuf heures en été, le ménage était couché, la boutique fermée et gardée par leur énorme chien qui cherchait sa vie dans les cuisines du quartier.
543	FRA00503_Balzac.xml	1854	2149	Il porte sept cents, dà !
544	FRA00503_Balzac.xml	1854	1040	la guerre à la société qui méconnaît ses devoirs.
545	FRA00503_Balzac.xml	1854	1686	Au moment où Graslin traitait, les domaines se composaient de la foret de Montégnac qui contenait environ trente mille arpents inexploitables, des ruines du château, des jardins et d'environ cinq mille arpents dans la plaine inculte qui se trouve en avant de Montégnac.
546	FRA00503_Balzac.xml	1854	966	Messieurs, reprit-il après un moment de silence, la ville connaît-elle ces détails ?
547	FRA00503_Balzac.xml	1854	2545	Monsieur le curé me promit de me ménager une existence douce et heureuse ainsi qu'à mon enfant, ici même, en me garantissant de tout affront.
548	FRA00503_Balzac.xml	1854	1016	est -ce un calcul de la parcimonie commandée par l'exercice de la Charité ?
549	FRA00503_Balzac.xml	1854	2838	Madame Graslin, propriétaire des forêts de Montégnac et d'un plateau fort ingrat qui s'étend au bas de la longue chaîne de collines sur laquelle est sa forêt, a le dessein de tirer parti de cet immense domaine, d'exploiter ses bois et de cultiver ses plaines caillouteuses.
20	FRA02101_Girardin.xml	1854	221	– Ces vilains enfants, dit-elle, ça n'est bon qu'à vous donner des plaisirs comme celui -là, et tous les jours ils inventent quelque chose de nouveau !
21	FRA02101_Girardin.xml	1854	580	Un architecte qui aurait ces yeux -là ne pourrait pas courir sur les toits.
22	FRA02101_Girardin.xml	1854	1634	Ce groupe singulier avait l'air d'une mascarade qui fait son entrée dans un bal costumé; seulement la mascarade est plus solennelle.
23	FRA02101_Girardin.xml	1854	2664	Aussi le grave valet de chambre était-il allé dans le voisinage faire une petite visite, une course d'un moment; il était bien sûr d'être rentré pour l'heure du danger, et il avait laissé à sa place un jeune étourdi qu'il n'avait pas jugé en état de recevoir une consigne.
24	FRA02101_Girardin.xml	1854	2338	Ne me laissez pas longtemps avec cette inquiétude, avec cette pensée que vous êtes triste à cause de moi.
25	FRA02101_Girardin.xml	1854	1847	Marguerite, que je me suis ennuyé hier !
26	FRA02101_Girardin.xml	1854	121	Aussi, je ne compte pas sur la supériorité de mon amour pour me rassurer; et, d'ailleurs, qu'importe celui qui aime le mieux ?
27	FRA02101_Girardin.xml	1854	3500	dit-il bas à Marguerite, vous n'épousez plus mon cousin et vous allez vous marier avec M.
28	FRA02101_Girardin.xml	1854	30	Montrez -moi ce portrait.
29	FRA02101_Girardin.xml	1854	1181	Étienne avait retrouvé sa gaieté; ce mot : « Je pars après-demain pour l'Italie » lui avait ôté un poids énorme de dessus le cœur.
160	FRA03401_Reybaud.xml	1855	20	L'ameublement du petit salon où il se tenait habituellement était d'une élégance modeste dont on ne découvrait que peu à peu les raffinements.
161	FRA03401_Reybaud.xml	1855	374	Ne vous étonnez pas si au premier abord elle ne vous fait pas l'accueil que vous méritez.
162	FRA03401_Reybaud.xml	1855	381	Le portrait que vous avez sous les yeux ne donne qu'une faible idée de cette belle créature; quel pinceau aurait pu rendre la fraîcheur de son teint, les douces flammes de son regard, la langueur de son sourire ?
163	FRA03401_Reybaud.xml	1855	769	ajouta la baronne d'un air de reproche indulgent.
164	FRA03401_Reybaud.xml	1855	442	Mes chiens n'ont pas voulu descendre; Léandre lui -même a refusé.
